case_id,case_type,question,reference_parent_indexes,dense_parent_indexes,dense_scores,dense_hit,dense_mrr,dense_latency_ms,sparse_parent_indexes,sparse_scores,sparse_hit,sparse_mrr,sparse_latency_ms,hybrid_parent_indexes,hybrid_scores,hybrid_hit,hybrid_mrr,hybrid_latency_ms,hybrid_rerank_parent_indexes,hybrid_rerank_scores,hybrid_rerank_hit,hybrid_rerank_mrr,hybrid_rerank_latency_ms
rag_pos_001,direct,什么是大型语言模型？,[0],"[0, 4, 1, 9]","[0.714478, 0.691852, 0.668285, 0.636877]",1.0,1.0,233.695,"[0, 1, 4, 2]","[0.224633, 0.1977, 0.197082, 0.177856]",1.0,1.0,233.695,"[0, 4, 1, 9]","[1.096707, 1.08601, 1.074494, 0.680512]",1.0,1.0,233.695,"[0, 4]","[0.996102, 0.984039]",1.0,1.0,5151.599
rag_pos_002,paraphrase,LLM 可以处理哪些自然语言任务？,[0],"[0, 9, 1, 4]","[0.66276, 0.577477, 0.576207, 0.558939]",1.0,1.0,233.912,"[0, 4, 1]","[0.311553, 0.187221, 0.130608]",1.0,1.0,233.912,"[0, 4, 1, 9]","[1.1036, 1.053475, 1.045331, 0.666697]",1.0,1.0,233.912,"[0, 9]","[0.974742, 0.064117]",1.0,1.0,2263.297
rag_pos_003,direct,大型语言模型经历了哪些发展阶段？,[0],"[0, 4, 1, 9]","[0.696723, 0.64343, 0.603559, 0.599015]",1.0,1.0,222.807,"[0, 1, 4, 9]","[0.244666, 0.186395, 0.185897, 0.175996]",1.0,1.0,222.807,"[0, 4, 9, 1]","[1.097164, 1.072945, 1.060608, 0.672852]",1.0,1.0,222.807,"[0, 1]","[0.98584, 0.780645]",1.0,1.0,2314.026
rag_pos_004,direct,语言模型的标准定义是什么？,[1],"[1, 0, 9]","[0.709613, 0.668162, 0.662706]",1.0,1.0,209.488,"[1, 0, 9, 4]","[0.273811, 0.219676, 0.197222, 0.194341]",1.0,1.0,209.488,"[1, 0, 9]","[1.105995, 1.085679, 1.07968]",1.0,1.0,209.488,"[1, 0]","[0.991301, 0.512019]",1.0,1.0,2153.539
rag_pos_005,paraphrase,语言模型主要可以分成哪些类型？,[1],"[1, 9, 0]","[0.744457, 0.709018, 0.708104]",1.0,1.0,334.196,"[0, 1, 4, 2]","[0.20433, 0.193154, 0.191345, 0.173382]",1.0,0.5,334.196,"[0, 1, 9]","[1.091035, 0.703701, 0.696318]",1.0,0.5,334.196,"[1, 9]","[0.994502, 0.850391]",1.0,1.0,5000.507
rag_pos_006,reasoning,为什么句子的联合概率不能直接简单计算？,"[1, 2]","[1, 2, 5, 4]","[0.593867, 0.585952, 0.580248, 0.580214]",1.0,1.0,422.967,"[2, 1, 8]","[0.220835, 0.218074, 0.142353]",1.0,1.0,422.967,"[1, 2, 5, 4]","[1.058351, 0.668712, 0.667358, 0.667349]",1.0,1.0,422.967,"[2, 1]","[0.207208, 0.130843]",1.0,1.0,6593.798
rag_pos_007,direct,什么是马尔可夫假设？,[2],"[2, 1]","[0.500211, 0.436099]",1.0,1.0,452.935,"[2, 1, 6, 4, 0]","[0.118921, 0.03603, 0.030625, 0.023291, 0.021096]",1.0,1.0,452.935,"[2, 1]","[1.024011, 0.985863]",1.0,1.0,452.935,"[2, 1]","[0.536048, 0.000876]",1.0,1.0,3552.387
rag_pos_008,direct,unigram、bigram 和 trigram 有什么区别？,[2],"[9, 2, 5, 3]","[0.536255, 0.531953, 0.515514, 0.475362]",1.0,0.5,518.24,"[9, 2]","[0.17377, 0.120484]",1.0,0.5,518.24,"[9, 2, 5, 3]","[1.035498, 1.028622, 0.65151, 0.641248]",1.0,0.5,518.24,"[2, 9]","[0.886638, 0.083094]",1.0,1.0,6362.045
rag_pos_009,paraphrase,N-gram 语言模型有哪些优点和缺点？,[2],"[2, 3, 9, 1]","[0.737257, 0.682128, 0.648285, 0.629713]",1.0,1.0,436.918,"[2, 3, 4, 9]","[0.418673, 0.263159, 0.253533, 0.240017]",1.0,1.0,436.918,"[2, 3, 9, 1]","[1.13941, 1.097886, 1.085569, 0.678884]",1.0,1.0,436.918,"[2, 3]","[0.999291, 0.988031]",1.0,1.0,6332.23
rag_pos_010,direct,神经网络语言模型由哪些层组成？,[3],"[3, 0, 9, 1]","[0.720125, 0.625694, 0.623042, 0.600478]",1.0,1.0,356.629,"[3, 2, 9, 0]","[0.201612, 0.175745, 0.17542, 0.156431]",1.0,1.0,356.629,"[3, 9, 0, 1]","[1.092108, 1.066052, 0.677966, 0.672133]",1.0,1.0,356.629,"[3, 1]","[0.984635, 0.507948]",1.0,1.0,6302.386
